"object","property","value"
"AA.ACCOUNT.CLOSURE.DETAILS>@ID",,
"AA.ACCOUNT.CLOSURE.DETAILS>CUSTOMER.NO|CUSTOMER","type","strong"
"AA.ACCOUNT.CLOSURE.DETAILS>ARRANGEMENT.ID|AA.ARRANGEMENT","type","strong"
"AA.ACCOUNT.CLOSURE.DETAILS>ACCOUNT.NO|ACCOUNT","type","strong"
"AA.ACCOUNT.CLOSURE.DETAILS>ACCOUNT.BALANCE",,
"AA.ACCOUNT.CLOSURE.DETAILS>CURRENCY|CURRENCY","type","strong"
"AA.ACCOUNT.CLOSURE.DETAILS>CLOSURE.TYPE|EB.TABLE.VETTING","type","strong"
"AA.ACCOUNT.DETAILS>@ID",,
"AA.ACCOUNT.DETAILS>CONTRACT.DATE",,
"AA.ACCOUNT.DETAILS>VALUE.DATE",,
"AA.ACCOUNT.DETAILS>START.DATE",,
"AA.ACCOUNT.DETAILS>DRAWDOWN.END.DATE",,
"AA.ACCOUNT.DETAILS>PAYMENT.START.DATE",,
"AA.ACCOUNT.DETAILS>MATURITY.DATE",,
"AA.ACCOUNT.DETAILS>ARR.AGE.STATUS",,
"AA.ACCOUNT.DETAILS>RENEWAL.DATE",,
"AA.ACCOUNT.DETAILS>COOLING.DATE",,
"AA.ACCOUNT.DETAILS>CANCEL.DATE",,
"AA.ACCOUNT.DETAILS>BASE.DATE",,
"AA.ACCOUNT.DETAILS>BILL.PAY.DATE",,
"AA.ACCOUNT.DETAILS>BILL.ID",,
"AA.ACCOUNT.DETAILS>ACTIVITY.REF",,
"AA.ACCOUNT.DETAILS>BILL.DATE",,
"AA.ACCOUNT.DETAILS>DEFER.DATE",,
"AA.ACCOUNT.DETAILS>BILL.TYPE",,
"AA.ACCOUNT.DETAILS>PAY.METHOD",,
"AA.ACCOUNT.DETAILS>BILL.STATUS",,
"AA.ACCOUNT.DETAILS>SET.STATUS",,
"AA.ACCOUNT.DETAILS>AGING.STATUS",,
"AA.ACCOUNT.DETAILS>NXT.AGE.DATE",,
"AA.ACCOUNT.DETAILS>CHASER.DATE",,
"AA.ACCOUNT.DETAILS>ALL.AGE.STATUS",,
"AA.ACCOUNT.DETAILS>SUSPENDED",,
"AA.ACCOUNT.DETAILS>REPORT.END.DATE",,
"AA.ACCOUNT.DETAILS>SCHEDULE.TYPE",,
"AA.ACCOUNT.DETAILS>NUM.PAYMENTS",,
"AA.ACCOUNT.DETAILS>PAYMENT.DATE",,
"AA.ACCOUNT.DETAILS>ACT.PAY.DATE",,
"AA.ACCOUNT.DETAILS>FIN.PAY.DATE",,
"AA.ACCOUNT.DETAILS>INTERIM.DATE",,
"AA.ACCOUNT.DETAILS>REPAY.REFERENCE",,
"AA.ACCOUNT.DETAILS>RPY.BILL.ID",,
"AA.ACCOUNT.DETAILS>RPY.BILL.ID.BANK",,
"AA.ACCOUNT.DETAILS>SUSP.STATUS",,
"AA.ACCOUNT.DETAILS>SUSP.DATE",,
"AA.ACCOUNT.DETAILS>LAST.RENEW.DATE",,
"AA.ACCOUNT.DETAILS>PAYMENT.END.DATE",,
"AA.ACCOUNT.DETAILS>BILLS.SETTLED.CNT",,
"AA.ACCOUNT.DETAILS>STATIC.UPDATE",,
"AA.ACCOUNT.DETAILS>RPY.REFERENCE",,
"AA.ACCOUNT.DETAILS>RPY.ACTUAL.DATE",,
"AA.ACCOUNT.DETAILS>WOF.ACTIVITY.REF",,
"AA.ACCOUNT.DETAILS>WOF.BILL.REF",,
"AA.ACCOUNT.DETAILS>WOF.PROPERTY",,
"AA.ACCOUNT.DETAILS>WOF.BALANCE.NAME",,
"AA.ACCOUNT.DETAILS>WOF.AMOUNT",,
"AA.ACCOUNT.DETAILS>CHARGEOFF.DATE",,
"AA.ACCOUNT.DETAILS>CHARGEOFF.REFERENCE",,
"AA.ACCOUNT.DETAILS>CHARGEOFF.BILL.ID",,
"AA.ACCOUNT.DETAILS>OVERDRAFT.STATUS",,
"AA.ACCOUNT.DETAILS>PRIMARY.OD.DATE",,
"AA.ACCOUNT.DETAILS>ACTUAL.RENEW.DATE",,
"AA.ACCOUNT.DETAILS>HOL.PAYMENT.TYPE",,
"AA.ACCOUNT.DETAILS>HOL.START.DATE",,
"AA.ACCOUNT.DETAILS>HOLIDAY.DATE",,
"AA.ACCOUNT.DETAILS>ONLINE.CAPITALISE",,
"AA.ACCOUNT.DETAILS>ARR.DORMANCY.STATUS",,
"AA.ACCOUNT.DETAILS>DORMANCY.STATUS",,
"AA.ACCOUNT.DETAILS>DORMANCY.DATE",,
"AA.ACCOUNT.DETAILS>DORMANCY.PROCESS",,
"AA.ACCOUNT.DETAILS>INT.STATEMENT.TYPE",,
"AA.ACCOUNT.DETAILS>LAST.STATEMENT.DATE",,
"AA.ACCOUNT.DETAILS>HOL.BILL.TYPE",,
"AA.ACCOUNT.DETAILS>HOL.NEW.PAYMENT.AMOUNT",,
"AA.ACCOUNT.DETAILS>ORG.PAYMENT.AMOUNT",,
"AA.ACCOUNT.DETAILS>EXPIRY.DATE",,
