"id","type","product"
"AA.ACCOUNT.CLOSURE.DETAILS","D","AA"
"AA.ACCOUNT.DETAILS","L","AA"
"AA.ACCOUNT.DETAILS.HIST","L","AA"
"AA.ACCOUNT.MOVEMENT","L","AA"
"AA.ACCOUNTS.NEXT.ACTIVITY","L","AR"
"AA.ACCRUAL.FREQUENCY","H","AA"
"AA.ACTIVITY","H","AA"
"AA.ACTIVITY.BALANCES","L","AA"
"AA.ACTIVITY.CLASS","H","AA"
"AA.ACTIVITY.HISTORY","L","AA"
"AA.ACTIVITY.HISTORY.HIST","L","AA"
"AA.ACTIVITY.HISTORY.SIM","L","AA"
"AA.ACTIVITY.PROCESSING.CLASS","H","AA"
"AA.ADVICE.CLASS","H","AA"
"AA.ADVICE.TYPE","L","AA"
"AA.ADVICE.TYPE.CATALOG","H","AA"
"AA.AGENT.COMMISSION.DETAILS","L","AA"
"AA.AGENT.COMMISSION.ONLINE.LIST","L","AA"
"AA.AGENT.COMMISSION.ONLINE.WORK","L","AA"
"AA.AGENT.CUSTOMER","L","AA"
"AA.AGENT.EVENT","W","AA"
"AA.AGENT.INTELLIGENCE","D","AA"
"AA.AGENT.NEXT.ACTIVITY","L","AG"
"AA.AGENT.SCHEDULE.DATES","L","AA"
"AA.API.CLASS","H","AA"
"AA.ARR.AC.ACCT.GROUP.CONDN","H","AA"
"AA.ARR.AC.GENERAL.CHARGE","H","AA"
"AA.ARR.AC.GROUP.CAP","H","AA"
"AA.ARR.AC.GROUP.INTEREST","H","AA"
"AA.ARR.ACCOUNT","H","AA"
"AA.ARR.ACCOUNTING","H","AA"
"AA.ARR.ACTIVITY.API","H","AA"
"AA.ARR.ACTIVITY.CHARGES","H","AA"
"AA.ARR.ACTIVITY.MAPPING","H","AA"
"AA.ARR.ACTIVITY.MESSAGING","H","AA"
"AA.ARR.ACTIVITY.PRESENTATION","H","AA"
"AA.ARR.ACTIVITY.RESTRICTION","H","AA"
"AA.ARR.AGENT.COMMISSION","H","AA"
"AA.ARR.ALERTS","H","AA"
"AA.ARR.AZ.ACCOUNTING","H","AA"
"AA.ARR.AZ.CR.CARD","H","AA"
"AA.ARR.AZ.DEPOSIT","H","AA"
"AA.ARR.AZ.LOAN","H","AA"
"AA.ARR.AZ.SAVINGS","H","AA"
"AA.ARR.BALANCE.AVAILABILITY","H","AA"
"AA.ARR.BALANCE.MAINTENANCE","H","AA"
"AA.ARR.BUNDLE.HIERARCHY","H","AA"
"AA.ARR.CDP.CONSENT","H","CK"
"AA.ARR.CHANGE.PRODUCT","H","AA"
"AA.ARR.CHANNEL.ACCESS","H","AA"
"AA.ARR.CHARGE","H","AA"
"AA.ARR.CHARGE.OVERRIDE","H","AA"
"AA.ARR.CHARGEOFF","H","AA"
"AA.ARR.CLOSURE","H","AA"
"AA.ARR.CONSTRAINT","H","AA"
"AA.ARR.CUSTOMER","H","AA"
"AA.ARR.DORMANCY","H","AA"
"AA.ARR.ELIGIBILITY","H","AA"
"AA.ARR.FACILITY","H","AA"
"AA.ARR.INHERITANCE","H","AA"
"AA.ARR.INTEREST","H","AA"
"AA.ARR.INTEREST.COMPENSATION","H","AB"
"AA.ARR.LD.OTH.COND","H","AA"
"AA.ARR.LIMIT","H","AA"
"AA.ARR.MG.OTH.COND","H","AA"
"AA.ARR.OFFICERS","H","AA"
"AA.ARR.OVERDUE","H","AA"
"AA.ARR.PAYMENT.HOLIDAY","H","AA"
"AA.ARR.PAYMENT.RULES","H","AA"
"AA.ARR.PAYMENT.SCHEDULE","H","AA"
"AA.ARR.PAYOFF","H","AA"
"AA.ARR.PAYOUT.RULES","H","AA"
"AA.ARR.PERIODIC.CHARGES","H","AA"
"AA.ARR.PREFERENTIAL.PRICING","H","AA"
"AA.ARR.PREFERENTIAL.PRICING.FX","H","AA"
"AA.ARR.PRICING.RULES","H","AA"
"AA.ARR.PRODUCT.ACCESS","H","AA"
"AA.ARR.PRODUCT.BUNDLE","H","AB"
"AA.ARR.PRODUCT.COMMISSION","H","AA"
"AA.ARR.PROTECTION.LIMIT","H","AA"
"AA.ARR.PROXY.PERMISSIONS","H","AP"
"AA.ARR.REPORTING","H","AA"
"AA.ARR.SAFE.DEPOSIT.BOX","H","AA"
"AA.ARR.SETTLEMENT","H","AA"
"AA.ARR.STATEMENT","H","AA"
"AA.ARR.TAX","H","AA"
"AA.ARR.TC.AVAILABILITY","H","AA"
"AA.ARR.TC.PERMISSIONS","H","AO"
"AA.ARR.TC.PRIVILEGES","H","AO"
"AA.ARR.TERM.AMOUNT","H","AA"
"AA.ARR.TRACKER.LIST","L","AA"
"AA.ARR.UI.APPEARANCE","H","AA"
"AA.ARR.UI.BEHAVIOUR","H","AA"
"AA.ARR.USER.RIGHTS","H","AA"
"AA.ARR.XINSURANCE","D","AA"
"AA.ARRANGEMENT","L","AA"
"AA.ARRANGEMENT.ACTIVITY","H","AA"
"AA.ARRANGEMENT.SIM","L","AA"
"AA.BILL.DETAILS","L","AA"
"AA.BILL.DETAILS.HIST","L","AA"
"AA.BILL.TYPE","H","AA"
"AA.BUNDLE.HIERARCHY.DETAILS","L","AA"
"AA.BUNDLE.NEXT.ACTIVITY","L","AB"
"AA.CHARGE.DETAILS","L","AA"
"AA.CHARGE.DETAILS.HIST","L","AA"
"AA.CHARGE.HANDOFF.DETAILS","L","AA"
"AA.CLASS.APPL.CONDITION","H","AA"
"AA.CLASS.DEFINITION","H","EB"
"AA.CLASS.TYPE","H","AA"
"AA.CLASS.TYPE.ACTION","H","AA"
"AA.CLASS.TYPE.ACTIVITY","H","AA"
"AA.CLASS.TYPE.ACTIVITY.CLASS","H","AA"
"AA.COMMISSION.TYPE","H","AA"
"AA.CONTEXT.TYPE","H","AA"
"AA.CUSTOM.RATE.TYPE","H","AA"
"AA.CUSTOMER.ARRANGEMENT","L","AA"
"AA.CUSTOMER.ARRANGEMENT.HIST","L","AA"
"AA.CUSTOMER.ARRANGEMENT.NAU","L","AA"
"AA.CUSTOMER.ROLE","H","AA"
"AA.DATA.OBJECT","H","AA"
"AA.DEBUG.LOG.DETAILS","L","AA"
"AA.DEFINITION.MANAGER","H","AA"
"AA.DEPOSITS.NEXT.ACTIVITY","L","AD"
"AA.DESCRIPTION","H","AA"
"AA.DEV.HELPER","W","AA"
"AA.DYNAMIC.DESCRIPTION.CLASS","H","AA"
"AA.EXCEPTION.LOG","L","AA"
"AA.GENERATE.ADVICE","H","AA"
"AA.INTEREST.ACCRUAL.HIST","L","AA"
"AA.INTEREST.ACCRUALS","L","AA"
"AA.INTEREST.ACCRUALS.WORK","L","AA"
"AA.INTEREST.DETAILS","L","AA"
"AA.INTERNAL.CAP.DETAILS","L","AA"
"AA.INTERNET.SERVICES.NEXT.ACTIVITY","L","AI"
"AA.LENDING.NEXT.ACTIVITY","L","AL"
"AA.MAPPING","H","AA"
"AA.MAPPING.CLASS","H","AA"
"AA.MAPPING.TYPE","L","AA"
"AA.MAPPING.TYPE.CATALOG","H","AA"
"AA.MARKETING.CATALOGUE","H","AA"
"AA.MARKETING.CATALOGUE.DESIGNER","H","AA"
"AA.MARKETING.CATALOGUE.STANDARD.FIELDS","H","AA"
"AA.OVERDUE.STATS","L","AA"
"AA.PARAMETER","H","AA"
"AA.PAYMENT.RULE.TYPE","H","AA"
"AA.PAYMENT.TYPE","H","AA"
"AA.PERIODIC.ATTRIBUTE","H","AA"
"AA.PERIODIC.ATTRIBUTE.CLASS","H","AA"
"AA.POOL.ORCHESTRATION.DETAILS","L","AA"
"AA.PRD.CAT.AC.ACCT.GROUP.CONDN","W","AA"
"AA.PRD.CAT.AC.GENERAL.CHARGE","W","AA"
"AA.PRD.CAT.AC.GROUP.CAP","W","AA"
"AA.PRD.CAT.AC.GROUP.INTEREST","W","AA"
"AA.PRD.CAT.ACCOUNT","W","AA"
"AA.PRD.CAT.ACCOUNTING","W","AA"
"AA.PRD.CAT.ACTIVITY.API","W","AA"
"AA.PRD.CAT.ACTIVITY.CHARGES","W","AA"
"AA.PRD.CAT.ACTIVITY.MAPPING","W","AA"
"AA.PRD.CAT.ACTIVITY.MESSAGING","W","AA"
"AA.PRD.CAT.ACTIVITY.PRESENTATION","W","AA"
"AA.PRD.CAT.ACTIVITY.RESTRICTION","W","AA"
"AA.PRD.CAT.AGENT.COMMISSION","W","AA"
"AA.PRD.CAT.ALERTS","W","AA"
"AA.PRD.CAT.AZ.ACCOUNTING","W","AA"
"AA.PRD.CAT.AZ.CR.CARD","W","AA"
"AA.PRD.CAT.AZ.DEPOSIT","W","AA"
"AA.PRD.CAT.AZ.LOAN","W","AA"
"AA.PRD.CAT.AZ.SAVINGS","W","AA"
"AA.PRD.CAT.BALANCE.AVAILABILITY","W","AA"
"AA.PRD.CAT.BALANCE.MAINTENANCE","W","AA"
"AA.PRD.CAT.BUNDLE.HIERARCHY","W","AA"
"AA.PRD.CAT.CDP.CONSENT","W","CK"
"AA.PRD.CAT.CHANGE.PRODUCT","W","AA"
"AA.PRD.CAT.CHANNEL.ACCESS","W","AA"
"AA.PRD.CAT.CHARGE","W","AA"
"AA.PRD.CAT.CHARGE.OVERRIDE","W","AA"
"AA.PRD.CAT.CHARGEOFF","W","AA"
"AA.PRD.CAT.CLOSURE","W","AA"
"AA.PRD.CAT.CONSTRAINT","W","AA"
"AA.PRD.CAT.CUSTOMER","W","AA"
"AA.PRD.CAT.DORMANCY","W","AA"
"AA.PRD.CAT.ELIGIBILITY","W","AA"
"AA.PRD.CAT.FACILITY","W","AA"
"AA.PRD.CAT.INHERITANCE","W","AA"
"AA.PRD.CAT.INTEREST","W","AA"
"AA.PRD.CAT.INTEREST.COMPENSATION","W","AB"
"AA.PRD.CAT.LD.OTH.COND","W","AA"
"AA.PRD.CAT.LIMIT","W","AA"
"AA.PRD.CAT.MG.OTH.COND","W","AA"
"AA.PRD.CAT.OFFICERS","W","AA"
"AA.PRD.CAT.OVERDUE","W","AA"
"AA.PRD.CAT.PAYMENT.RULES","W","AA"
"AA.PRD.CAT.PAYMENT.SCHEDULE","W","AA"
"AA.PRD.CAT.PAYOFF","W","AA"
"AA.PRD.CAT.PAYOUT.RULES","W","AA"
"AA.PRD.CAT.PERIODIC.CHARGES","W","AA"
"AA.PRD.CAT.PREFERENTIAL.PRICING","W","AA"
"AA.PRD.CAT.PREFERENTIAL.PRICING.FX","W","AA"
"AA.PRD.CAT.PRICING.RULES","W","AA"
"AA.PRD.CAT.PRODUCT.ACCESS","W","AA"
"AA.PRD.CAT.PRODUCT.BUNDLE","W","AB"
"AA.PRD.CAT.PRODUCT.COMMISSION","W","AA"
"AA.PRD.CAT.PROTECTION.LIMIT","W","AA"
"AA.PRD.CAT.PROXY.PERMISSIONS","W","AP"
"AA.PRD.CAT.REPORTING","W","AA"
"AA.PRD.CAT.SAFE.DEPOSIT.BOX","W","AA"
"AA.PRD.CAT.SETTLEMENT","W","AA"
"AA.PRD.CAT.STATEMENT","W","AA"
"AA.PRD.CAT.TAX","W","AA"
"AA.PRD.CAT.TC.AVAILABILITY","W","AA"
"AA.PRD.CAT.TC.PERMISSIONS","W","AO"
"AA.PRD.CAT.TC.PRIVILEGES","W","AO"
"AA.PRD.CAT.TERM.AMOUNT","W","AA"
"AA.PRD.CAT.UI.APPEARANCE","W","AA"
"AA.PRD.CAT.UI.BEHAVIOUR","W","AA"
"AA.PRD.CAT.USER.RIGHTS","W","AA"
"AA.PRD.CAT.XINSURANCE","D","AA"
"AA.PRD.DES.AC.ACCT.GROUP.CONDN","H","AA"
"AA.PRD.DES.AC.GENERAL.CHARGE","H","AA"
"AA.PRD.DES.AC.GROUP.CAP","H","AA"
"AA.PRD.DES.AC.GROUP.INTEREST","H","AA"
"AA.PRD.DES.ACCOUNT","H","AA"
"AA.PRD.DES.ACCOUNTING","H","AA"
"AA.PRD.DES.ACTIVITY.API","H","AA"
"AA.PRD.DES.ACTIVITY.CHARGES","H","AA"
"AA.PRD.DES.ACTIVITY.MAPPING","H","AA"
"AA.PRD.DES.ACTIVITY.MESSAGING","H","AA"
"AA.PRD.DES.ACTIVITY.PRESENTATION","H","AA"
"AA.PRD.DES.ACTIVITY.RESTRICTION","H","AA"
"AA.PRD.DES.AGENT.COMMISSION","H","AA"
"AA.PRD.DES.ALERTS","H","AA"
"AA.PRD.DES.AZ.ACCOUNTING","H","AA"
"AA.PRD.DES.AZ.CR.CARD","H","AA"
"AA.PRD.DES.AZ.DEPOSIT","H","AA"
"AA.PRD.DES.AZ.LOAN","H","AA"
"AA.PRD.DES.AZ.SAVINGS","H","AA"
"AA.PRD.DES.BALANCE.AVAILABILITY","H","AA"
"AA.PRD.DES.BALANCE.MAINTENANCE","H","AA"
"AA.PRD.DES.BUNDLE.HIERARCHY","H","AA"
"AA.PRD.DES.CDP.CONSENT","H","CK"
"AA.PRD.DES.CHANGE.PRODUCT","H","AA"
"AA.PRD.DES.CHANNEL.ACCESS","H","AA"
"AA.PRD.DES.CHARGE","H","AA"
"AA.PRD.DES.CHARGE.OVERRIDE","H","AA"
